Item name,Quantity,Unit of Measure,,Min.Quantity
Cable gland shroud,52.00,,,10.00
Current measuring module IEC/EN 60947-4-1 /50/60Hz,4.00,,,2.00
DCC accessories panel + cables,1.00,,,0.00
Nut M16 Material:SS,53.00,,,10.00
Spring washer M6x1.8Mm Material:GI,213.00,,,30.00
0-ring 267x4. FKM80,2.00,,,1.00
"0.3Mm Steel shim pack. ID305,OD395",2.00,,,0.00
1 core cable,222.00,,,25.00
1 core cable,21.00,,,10.00
"1"" - 1/2"" nipple",2.00,,,1.00
"1"" gasket",3.00,,,1.00
"1"" gasket",26.00,,,5.00
"1"" impulse fitting OD26Mm",1.00,,,0.00
"1"" pistol air impact wrench",1.00,,,0.00
1- way stir connector,5.00,,,3.00
"1-1/2"" gasket",24.00,,,4.00
"1-1/2"" gasket",39.00,,,5.00
"1-1/4"" gasket",34.00,,,6.00
1.5V batteries LR44/A76,9.00,,,5.00
"1/2"" - 1/4"" nipple",2.00,,,2.00
"1/2"" - 3/8"" nipple (used)",3.00,,,2.00
"1/2"" - 3/8"" pressure gauge nipple (used)",1.00,,,0.00
"1/2"" BD tube fitting 12Mm",1428.00,,,250.00
"1/2"" BD tube fitting 13Mm",185.00,,,30.00
"1/2"" BFP needle valve with nipple",11.00,,,5.00
"1/2"" LS key end plug",13.00,,,5.00
"1/2"" NPT 2 way manifold",9.00,,,4.00
"1/2"" NPT Nipple SH80SA106",77.00,,,0.00
"1/2"" NPT female nipple for impulse line",20.00,,,10.00
"1/2"" PVC tube female fitting OD 6Mm",2.00,,,2.00
"1/2"" ball valve",128.00,,,25.00
"1/2"" end cap",174.00,,,25.00
"1/2"" end plug",30.00,,,10.00
"1/2"" female connector",307.00,,,15.00
"1/2"" female nipple",9.00,,,4.00
"1/2"" female tube fitting",1.00,,,0.00
"1/2"" gasket",10.00,,,3.00
"1/2"" gauge adaptor",8.00,,,4.00
"1/2"" gauge adaptor with valve",70.00,,,15.00
"1/2"" globe valve, needle type",26.00,,,10.00
"1/2"" male nipple",10.00,,,5.00
"1/2"" needle valve",28.00,,,10.00
"1/2"" needle valve",85.00,,,15.00
"1/2"" nipple",1.00,,,0.00
"1/2"" nipple (used)",4.00,,,2.00
"1/2"" nipple 8Mm",1.00,,,0.00
"1/2"" nipple reducer",1.00,,,0.00
"1/2"" nipple reducer 33Mm. SS316",73.00,,,15.00
"1/2"" nipple with tube OD12Mm",2.00,,,1.00
"1/2"" pressure gauge adaptor",3.00,,,2.00
"1/2"" round nipple OD 14Mm",60.00,,,15.00
"1/2"" round nipple OD 22Mm",33.00,,,10.00
"1/2"" tube fitting",807.00,,,100.00
"1/2"" tube fitting 10Mm",69.00,,,15.00
"1/2"" tube fitting 8-16-S6-N",45.00,,,15.00
"1/2"" tube fitting OD 8Mm",4.00,,,2.00
"1/2"" tube fitting OD26Mm (used)",2.00,,,1.00
"1/2"" union nut",36.00,,,10.00
"1/3"" tube L fitting",27.00,,,10.00
"1/3"" tube fitting 12Mm",25.00,,,10.00
"1/3"" tube fitting OD 11Mm",6.00,,,3.00
"1/3"" tube fitting OD 13Mm",4.00,,,2.00
"1/3"" tube fitting OD 6Mm",450.00,,,50.00
"1/4"" - 1/3"" female connector",33.00,,,10.00
"1/4"" - 3/8"" female nipple",1.00,,,0.00
"1/4"" BD tube fitting 13Mm",217.00,,,30.00
"1/4"" NPT blind plug. PFK0200001CD",1.00,,,0.00
"1/4"" PVC tube fitting",1.00,,,0.00
"1/4"" PVC tube fitting (used)",1.00,,,0.00
"1/4"" PVC tube fitting (used)",4.00,,,2.00
"1/4"" aluminium nipple",4.00,,,2.00
"1/4"" dual threaded nipple (used)",2.00,,,1.00
"1/4"" fitting for cable prob",10.00,,,5.00
"1/4"" joint connector for cable prob",15.00,,,5.00
"1/4"" nipple",2.00,,,1.00
"1/4"" pressure gauge nipple (used)",3.00,,,2.00
"1/4"" tube fitting",10.00,,,5.00
"1/4"" tube fitting 10Mm",41.00,,,10.00
"1/4"" tube fitting OD 10Mm",2.00,,,1.00
"1/4"" tube fitting OD 12Mm",28.00,,,10.00
"1/4"" tube fitting OD 6Mm",10.00,,,5.00
"1/4"" tube fitting OD 7Mm",14.00,,,7.00
10 core cable,7.00,,,0.00
"10"" gasket",31.00,,,5.00
10Gbps-5M-SFP+ DAC cable,1.00,,,0.00
10Mm PVC tube fitting (used),1.00,,,0.00
"11/4"" diaphragm valve",1.00,,,0.00
110V AC contactor. LC1D25M7,0.00,,,1.00
110V relay,6.00,,,2.00
11Kv panel relay,4.00,,,2.00
12 watt economic lamp,43.00,,,2.00
"12"" gasket",5.00,,,2.00
1200h service kit. Pn ACP0661100,4.00,,,2.00
1200h service kit. Pn ACV0245730,18.00,,,5.00
"12ABCNA3. 15, PT/VT fuse link 3.15A",3.00,,,2.00
12Mm tube joint Tee connector,49.00,,,10.00
12V - 24A Power Supply,1.00,,,0.00
12V - 70A batteries,0.00,,,1.00
12V 180AH battery (for Valtra tractors).,0.00,,,2.00
12V 18Ah batteries for UPS (power plant),0.00,,,2.00
12V 38.5A switching power supply,2.00,,,1.00
12V 65 Ah battery for Buss,0.00,,,0.00
12V 90 Ah battery,0.00,,,0.00
12V battery power prob,6.00,,,3.00
14 + HRD 290 28 BASED CHG,1.00,,,1.00
1413 us/cm KCL Conductivity solution 500ML,0.00,,,0.00
14Mm inpulse tee steel joint connector,44.00,,,0.00
15 micron capacitors,2.00,,,0.00
16 channel linearized RTD/TC input card,6.00,,,2.00
18 watt long tube light,4.00,,,10.00
"18650 Batteries, 3000 Mah",2.00,,,0.00
1Px1.5SQMm HR FRLS signal cable 500Volts,12.00,,,6.00
2 Core cable,400.00,,,100.00
2 core antena cable,2.00,,,1.00
2 core antena cable,9.00,,,2.00
2 core cable,40.00,,,10.00
2 core cable,16.00,,,5.00
2 core cable,17.00,,,5.00
2 core cable,29.00,,,15.00
2 core cable,43.00,,,25.00
2 core cable,48.00,,,20.00
2 wY manifold for pressure gauge,6.00,,,3.00
2 way cover,6.00,,,3.00
2 way cover,12.00,,,4.00
2 way cover,19.00,,,5.00
2 way cover,23.00,,,10.00
2 way cover,2.00,,,1.00
2 way cover,3.00,,,0.00
2 way manifold,1.00,,,0.00
2 way manifold 6000PSI,1.00,,,0.00
2 way pressure transmitter manifold,26.00,,,10.00
2 way pressure transmitter manifold 6000PSI,3.00,,,2.00
2 way switch,7.00,,,2.00
2 wire RTDs for boiler,2.00,,,1.00
"2"" gasket",22.00,,,4.00
"2-1/2"" gasket",9.00,,,0.00
"2-1/2"" gasket",9.00,,,3.00
2-way stair connector,45.00,,,20.00
2-ways breeching inlet,8.00,,,2.00
2.5 micron capacitors,20.00,,,0.00
220V power cord,1.00,,,0.00
220V power cord,3.00,,,0.00
220VAC power cord,1.00,,,0.00
24V AC contactor. LC1D25M7,0.00,,,1.00
24V AL controller,4.00,,,2.00
24V power supply card,1.00,,,1.00
24V solenoid for case excavator,1.00,,,1.00
24V solenoid valve for boiler,1.00,,,0.00
24V solenoid valve for boiler,1.00,,,1.00
25 core flex cable,1.00,,,0.00
250V cable.,15.00,,,0.00
"2668000-REAGENT SET, NITROGEN AMMONIA",0.00,,,0.00
2848 fligh chain conveyor,1.00,,,0.00
2x18W 240V tube light,17.00,,,5.00
3 core RTD cable,2.00,,,1.00
3 core cable,0.00,,,0.00
3 core cable,2.00,,,1.00
3 core cable,14.00,,,0.00
3 core cable,22.00,,,0.00
3 core cable,44.00,,,15.00
3 core cable,52.00,,,15.00
3 core cable,103.00,,,20.00
3 phase cable,200.00,,,50.00
3 phase rectifier bridge,4.00,,,2.00
"3 phase, 4 wire static watthour meter",1.00,,,0.00
3 way cover,1.00,,,0.00
3 way cover,21.00,,,5.00
3 way manifold,2.00,,,1.00
3 wire RTDs,5.00,,,2.00
"3"" gasket",9.00,,,3.00
"3"" gasket",54.00,,,10.00
"3"" oblique landing valve",1.00,,,0.00
3-way stair connector,20.00,,,10.00
3.7V lithium AA batteries,0.00,,,5.00
"3/8"" ball valve",3.00,,,2.00
"3/8"" end cap",3.00,,,2.00
"3/8"" female nipple",2.00,,,1.00
"3/8"" instrument nipple",4.00,,,3.00
"3/8"" nipple (used)",2.00,,,1.00
"3/8"" pressure gauge nipple (used)",1.00,,,0.00
32209 Taper roller bearing,5.00,,,2.00
3300XL 8MM proximity transducer,8.00,,,4.00
3V auma value batteries,0.00,,,4.00
3V batteries CR1225,3.00,,,0.00
3V battery CR2032,6.00,,,3.00
4 channel CCTV camera power supply,1.00,,,0.00
4 core 50Sqmm copper flexible cable,10.00,,,0.00
4 core cable,0.00,,,0.00
4 core cable,11.00,,,5.00
4 core cable,15.00,,,5.00
4 core cable,22.00,,,5.00
4 core cable,22.00,,,10.00
4 core cable,25.00,,,10.00
4 core cable,38.00,,,15.00
4 core cable,84.00,,,20.00
4 core cable,90.00,,,25.00
4 core cable,100.00,,,20.00
4 core cable,117.00,,,25.00
4 core cable,140.00,,,25.00
4 core cable,216.00,,,25.00
4 way ABS distribution board,1.00,,,0.00
4 way cover,7.00,,,3.00
4 wire RTDs for boiler,2.00,,,1.00
"4"" Dial chemical seal gauge with contact",1.00,,,0.00
"4"" cooling fan for VFD",1.00,,,0.00
"4"" gasket",14.00,,,4.00
4-way stair connector,12.00,,,5.00
"46Mm impact socket 1"" SQDR-KEN5835290K",2.00,,,1.00
5 - Port Network switch,0.00,,,0.00
5 core cable,15.00,,,0.00
5 way cover,1.00,,,0.00
5 way cover,6.00,,,3.00
5 way manifold 6000PSI,2.00,,,1.00
5 way manifold 6000PSI,8.00,,,4.00
501G 50A spiral wounded gasket,4.00,,,0.00
"50Mm Impact socket 1"" SQDR-KEN5835330K",0.00,,,1.00
50h service kit ACV0245680,0.00,,,1.00
5500SC SILICA REAGENT SETT,0.00,,,0.00
"550A balance seal plug 4""",2.00,,,0.00
5V power supply,1.00,,,1.00
"5V power supply, 1.5A",10.00,,,10.00
"6"" gasket",19.00,,,4.00
600H service kit. Pn ACV0245700,2.00,,,2.00
608-2RS ball bearing,25.00,,,5.00
60W industrial lamp for turbine and boiler,3.00,,,1.00
6209-OIL ball bearing,10.00,,,3.00
690V VFD module,1.00,,,0.00
6Mm PVC tube fitting (used),1.00,,,0.00
6X4Mm air pipe,50.00,,,10.00
7 watt economic spiral lamp,0.00,,,2.00
8 channel CCTV SMPS,2.00,,,1.00
8 channel linearized RTD/TC input card,5.00,,,2.00
"8"" cooling fan for VFD",2.00,,,1.00
"8"" gasket",5.00,,,2.00
84us/m Conductivity solution 500ML,0.00,,,0.00
9 pin connector,35.00,,,5.00
ABB ACS580 driver,1.00,,,0.00
ABB CR - M4SS4C/0SKT/Base,3.00,,,2.00
ABB control panel kit,1.00,,,0.00
ABB hart handled communicator,1.00,,,0.00
ABB temperature transmitter,1.00,,,0.00
AC -DC Card,1.00,,,1.00
AC Air filter From GREEN LEAF/Victoria Motors,3.00,,,0.00
AC air filter Pn. ACV0111540,2.00,,,1.00
AC compressor. Pn 464-9988,0.00,,,1.00
AC cord extension cable,11.00,,,2.00
AC remote control,10.00,,,0.00
ACB display,1.00,,,0.00
ACCESSORIES,290.00,,,50.00
AINF3 2.72 + ZMU - 03 SP,1.00,,,0.00
"AMMONIA, TNT+, HR(2-47 MG/L) PK/25",0.00,,,0.00
APH Air tube sleeves,150.00,,,50.00
APRDS - Valve,1.00,,,0.00
APRDS control valve,3.00,,,2.00
APRDS spray control valve kit,2.00,,,0.00
AUMA - reduction gearing F0,2.00,,,1.00
AUMA MOV actuator pert,5.00,,,3.00
AUMA MOV terminal screw and washer,70.00,,,15.00
AUMA actuator (old) German made,0.00,,,0.00
AUMA card,2.00,,,1.00
AUMA card display,2.00,,,0.00
AWG crimp contact,100.00,,,20.00
Accessories for projector light,1.00,,,0.00
Accessoriry terminal for PHP drivers,1.00,,,0.00
Accessory Pn. ACV0079860,2.00,,,1.00
Accessory for circuit breaker,15.00,,,0.00
Accessory fuse cover for 3KL8 SZ1,1.00,,,0.00
Acetone Analytical grade 2.5L,0.00,,,0.00
Acrylcoat,1.00,,,0.00
Activated Alumina ball size 6 to 8 Mm for gas filter,0.00,,,1.00
Activated Alumina glass wool for gas filter,0.00,,,1.00
Actuator for boiler,1.00,,,0.00
Actuator for boiler,1.00,,,1.00
"Adapter Q4.  9973454938/100,200,300,400",4.00,,,0.00
Adapter sleeve. Pn H2310,12.00,,,5.00
Add opening release 220/250 DC/AC VD4G,1.00,,,0.00
Adhesive LV 203 - fevi Kwik,0.00,,,5.00
Adjustable spanner,1.00,,,1.00
Adjustable support,6.00,,,3.00
Adjusting plate,6.00,,,3.00
Adjusting ring pin for main Stream line safety valve,1.00,,,0.00
Adjusting ring pin for main steam drum safety valve,1.00,,,0.00
Adjusting ring pin for main steam line safety valve,1.00,,,0.00
Adjusting ring pin for soot blower safety valve,1.00,,,0.00
Adjusting ring pin for soot blower safety valve,1.00,,,0.00
Adjusting ring pin for steam drum safety valve.,1.00,,,0.00
Affic system set,6.00,,,3.00
Air and Oil filter for Hydra,1.00,,,1.00
